"ID","Category","Idea","Status","Priority","Research Notes","Sources","Draft Location","Published URL","Date Completed","Related IDs"
DC059,"Trees, plants, and urban wildlife",When does spring reporting of a chosen migrant bird increase each year?,Idea,,,,,,,
"DC060","Trees, plants, and urban wildlife","Where has pavement quietly become a garden?","Idea","","","","","","",""
"DC061","Snow, weather, and Syracuse’s seasonal personality","Was last winter actually unusual?","Idea","","","","","","",""
"DC062","Snow, weather, and Syracuse’s seasonal personality","What did a “normal winter” mean when you were ten?","Idea","","","","","","",""
"DC063","Snow, weather, and Syracuse’s seasonal personality","How often does Syracuse have a white Christmas?","Idea","","","","","","",""
"DC064","Snow, weather, and Syracuse’s seasonal personality","How often does Halloween come with measurable snow?","Idea","","","","","","",""
"DC065","Snow, weather, and Syracuse’s seasonal personality","What is the latest recorded spring snowfall?","Idea","","","","","","",""
"DC066","Snow, weather, and Syracuse’s seasonal personality","What is the earliest recorded autumn snowfall?","Idea","","","","","","",""
"DC067","Snow, weather, and Syracuse’s seasonal personality","What is Syracuse’s longest stretch of consecutive snowy days?","Idea","","","","","","",""
"DC068","Snow, weather, and Syracuse’s seasonal personality","How much annual snowfall comes from the five biggest days?","Idea","","","","","","",""
"DC069","Snow, weather, and Syracuse’s seasonal personality","Which month delivers the most snow surprises?","Idea","","","","","","",""
"DC070","Snow, weather, and Syracuse’s seasonal personality","How often does a warm day immediately precede heavy snow?","Idea","","","","","","",""
"DC071","Snow, weather, and Syracuse’s seasonal personality","What is the biggest temperature swing within one day?","Idea","","","","","","",""
"DC072","Snow, weather, and Syracuse’s seasonal personality","What is the biggest temperature swing between consecutive days?","Idea","","","","","","",""
"DC073","Snow, weather, and Syracuse’s seasonal personality","How many false springs does Syracuse get in a typical year?","Idea","","","","","","",""
"DC074","Snow, weather, and Syracuse’s seasonal personality","When does the final freeze usually arrive?","Idea","","","","","","",""
"DC075","Snow, weather, and Syracuse’s seasonal personality","How much does the first freeze date vary?","Idea","","","","","","",""
"DC076","Snow, weather, and Syracuse’s seasonal personality","What is the longest stretch without measurable precipitation?","Idea","","","","","","",""
"DC077","Snow, weather, and Syracuse’s seasonal personality","Does it rain more often on weekends—or do we remember it better?","Idea","","","","","","",""
"DC078","Snow, weather, and Syracuse’s seasonal personality","Which calendar date has historically offered the best picnic odds?","Idea","","","","","","",""
"DC079","Snow, weather, and Syracuse’s seasonal personality","How often does the first day of summer feel like summer?","Idea","","","","","","",""
"DC080","Snow, weather, and Syracuse’s seasonal personality","How many days actually require a winter coat under a stated threshold?","Idea","","","","","","",""
"DC081","Snow, weather, and Syracuse’s seasonal personality","How often does snow survive a midwinter thaw?","Idea","","","","","","",""
"DC082","Snow, weather, and Syracuse’s seasonal personality","Which winters produced lots of snow but relatively few snowy days?","Idea","","","","","","",""
"DC083","Snow, weather, and Syracuse’s seasonal personality","Which winters produced frequent snow without big totals?","Idea","","","","","","",""
"DC084","Snow, weather, and Syracuse’s seasonal personality","Does snowfall at the airport represent the whole city?","Idea","","","","","","",""
"DC085","Snow, weather, and Syracuse’s seasonal personality","How different can snowfall be across nearby weather stations?","Idea","","","","","","",""
"DC086","Snow, weather, and Syracuse’s seasonal personality","When do snow-related service requests begin each season?","Idea","","","","","","",""
"DC087","Snow, weather, and Syracuse’s seasonal personality","How long after snowfall do snow-related requests peak?","Idea","","","","","","",""
"DC088","Snow, weather, and Syracuse’s seasonal personality","What do residents call snow problems when there is no matching request category?","Idea","","","","","","",""
DC089,"Snow, weather, and Syracuse’s seasonal personality",What share of snow-related Cityline requests arrives overnight?,Idea,,,,,,,
"DC090","Snow, weather, and Syracuse’s seasonal personality","What does one snowstorm look like in six maps?","Idea","","","","","","",""
"DC091","Buildings, parcels, and peculiar pieces of land","What is Syracuse’s smallest parcel?","Idea","","","","","","",""
DC092,"Buildings, parcels, and peculiar pieces of land",Which mapped Syracuse parcels are the narrowest?,Idea,,,,,,,
"DC093","Buildings, parcels, and peculiar pieces of land","Which parcel has the strangest shape?","Idea","","","","","","",""
"DC094","Buildings, parcels, and peculiar pieces of land","Why does this tiny triangle have its own parcel number?","Idea","","","","","","",""
"DC095","Buildings, parcels, and peculiar pieces of land","Which city block contains the most separate parcels?","Idea","","","","","","",""
"DC096","Buildings, parcels, and peculiar pieces of land","Which block is almost entirely one parcel?","Idea","","","","","","",""
"DC097","Buildings, parcels, and peculiar pieces of land","Where are the deepest, narrowest residential lots?","Idea","","","","","","",""
"DC098","Buildings, parcels, and peculiar pieces of land","Which lots have frontage on three different streets?","Idea","","","","","","",""
"DC099","Buildings, parcels, and peculiar pieces of land","Where does a property line run through an unexpected place?","Idea","","","","","","",""
"DC100","Buildings, parcels, and peculiar pieces of land","Which parcels preserve the outline of a vanished street?","Idea","","","","","","",""
"DC101","Buildings, parcels, and peculiar pieces of land","What is the oldest recorded building on each neighborhood’s map?","Idea","","","","","","",""
"DC102","Buildings, parcels, and peculiar pieces of land","Which block has the tightest cluster of similar building ages?","Idea","","","","","","",""
"DC103","Buildings, parcels, and peculiar pieces of land","Where do neighboring buildings differ most in recorded age?","Idea","","","","","","",""
"DC104","Buildings, parcels, and peculiar pieces of land","How many buildings are older than Syracuse’s incorporation?","Idea","","","","","","",""
"DC105","Buildings, parcels, and peculiar pieces of land","Which decade left the most surviving buildings?","Idea","","","","","","",""
DC106,"Buildings, parcels, and peculiar pieces of land",Which decades are least represented in the current property age records?,Idea,,,,,,,
"DC107","Buildings, parcels, and peculiar pieces of land","How many buildings have suspiciously round construction dates?","Idea","","","","","","",""
"DC108","Buildings, parcels, and peculiar pieces of land","What does “built in 1900” really mean in property records?","Idea","","","","","","",""
"DC109","Buildings, parcels, and peculiar pieces of land","Where are the smallest residential building footprints?","Idea","","","","","","",""
"DC110","Buildings, parcels, and peculiar pieces of land","Where are the largest buildings hiding in plain sight?","Idea","","","","","","",""
"DC111","Buildings, parcels, and peculiar pieces of land","Which building occupies the greatest share of its parcel?","Idea","","","","","","",""
"DC112","Buildings, parcels, and peculiar pieces of land","Which large parcel contains a surprisingly small building?","Idea","","","","","","",""
"DC113","Buildings, parcels, and peculiar pieces of land","How much land is occupied by detached garages?","Idea","","","","","","",""
"DC114","Buildings, parcels, and peculiar pieces of land","Which blocks have the most alley-facing buildings?","Idea","","","","","","",""
"DC115","Buildings, parcels, and peculiar pieces of land","Where do houses sit unusually close to the sidewalk?","Idea","","","","","","",""
"DC116","Buildings, parcels, and peculiar pieces of land","Where do building setbacks abruptly change?","Idea","","","","","","",""
"DC117","Buildings, parcels, and peculiar pieces of land","How many corner buildings have entrances facing the corner?","Idea","","","","","","",""
"DC118","Buildings, parcels, and peculiar pieces of land","Which former industrial buildings have found new uses?","Idea","","","","","","",""
"DC119","Buildings, parcels, and peculiar pieces of land","Can you identify a former store from its building shape?","Idea","","","","","","",""
"DC120","Buildings, parcels, and peculiar pieces of land","What can one block’s parcel map tell us about its history?","Idea","","","","","","",""
"DC121","Getting around, sometimes the long way","Where can two nearby places require a surprisingly long walk?","Idea","","","","","","",""
"DC122","Getting around, sometimes the long way","Which highway crossing creates the biggest pedestrian detour?","Idea","","","","","","",""
"DC123","Getting around, sometimes the long way","Where does a missing sidewalk interrupt an otherwise complete route?","Idea","","","","","","",""
"DC124","Getting around, sometimes the long way","Which intersection requires the most crossings to reach the opposite corner?","Idea","","","","","","",""
"DC125","Getting around, sometimes the long way","Where are the longest marked pedestrian crossings?","Idea","","","","","","",""
"DC126","Getting around, sometimes the long way","Which streets have sidewalks on only one side?","Idea","","","","","","",""
"DC127","Getting around, sometimes the long way","How many cul-de-sacs have pedestrian exits?","Idea","","","","","","",""
"DC128","Getting around, sometimes the long way","Which pedestrian shortcut saves the most distance?","Idea","","","","","","",""
"DC129","Getting around, sometimes the long way","Where does a fence turn a short trip into a long one?","Idea","","","","","","",""
"DC130","Getting around, sometimes the long way","Which bridge serves the most potential walking routes?","Idea","","","","","","",""
"DC131","Getting around, sometimes the long way","What is the steepest street segment?","Idea","","","","","","",""
"DC132","Getting around, sometimes the long way","What is the flattest mile-long walking loop?","Idea","","","","","","",""
"DC133","Getting around, sometimes the long way","What is the hilliest mile-long walking loop?","Idea","","","","","","",""
"DC134","Getting around, sometimes the long way","How much elevation do you gain walking across Syracuse?","Idea","","","","","","",""
"DC135","Getting around, sometimes the long way","How far can you walk without crossing a major road?","Idea","","","","","","",""
"DC136","Getting around, sometimes the long way","Which neighborhood has the smallest blocks?","Idea","","","","","","",""
"DC137","Getting around, sometimes the long way","Which has the largest blocks?","Idea","","","","","","",""
"DC138","Getting around, sometimes the long way","Where does the street grid rotate—and why?","Idea","","","","","","",""
"DC139","Getting around, sometimes the long way","How many different grid orientations does Syracuse contain?","Idea","","","","","","",""
"DC140","Getting around, sometimes the long way","Which bus stops are closest together?","Idea","","","","","","",""
"DC141","Getting around, sometimes the long way","Which consecutive bus stops are farthest apart?","Idea","","","","","","",""
"DC142","Getting around, sometimes the long way","Which bus stop serves the most scheduled routes?","Idea","","","","","","",""
"DC143","Getting around, sometimes the long way","Where do scheduled buses arrive in bunches, followed by long gaps?","Idea","","","","","","",""
"DC144","Getting around, sometimes the long way","How different is Sunday transit service from Tuesday service?","Idea","","","","","","",""
"DC145","Getting around, sometimes the long way","Which trips become hardest after the evening rush?","Idea","","","","","","",""
"DC146","Getting around, sometimes the long way","How many residents live within a short walk of frequent scheduled service?","Idea","","","","","","",""
"DC147","Getting around, sometimes the long way","Which bus shelters face the afternoon sun?","Idea","","","","","","",""
"DC148","Getting around, sometimes the long way","Where does a bike lane end at an especially inconvenient spot?","Idea","","","","","","",""
"DC149","Getting around, sometimes the long way","How much farther is the comfortable bike route than the direct route?","Idea","","","","","","",""
"DC150","Getting around, sometimes the long way","Can you cross Syracuse using only low-traffic streets and trails?","Idea","","","","","","",""
"DC151","Parks, public places, and nearby pleasures","What is Syracuse’s smallest park?","Idea","","","","","","",""
"DC152","Parks, public places, and nearby pleasures","Which park has the most boundary relative to its area?","Idea","","","","","","",""
"DC153","Parks, public places, and nearby pleasures","Which park is hardest to enter from nearby homes?","Idea","","","","","","",""
"DC154","Parks, public places, and nearby pleasures","Where is the largest gap between official park boundaries and actual entrances?","Idea","","","","","","",""
"DC155","Parks, public places, and nearby pleasures","Which residential location is farthest from a public park entrance?","Idea","","","","","","",""
"DC156","Parks, public places, and nearby pleasures","How many residents can walk to more than one park?","Idea","","","","","","",""
"DC157","Parks, public places, and nearby pleasures","Which park serves the most people within a ten-minute walk?","Idea","","","","","","",""
"DC158","Parks, public places, and nearby pleasures","Where do city boundaries complicate the nearest-park question?","Idea","","","","","","",""
"DC159","Parks, public places, and nearby pleasures","Which park has the most varied terrain?","Idea","","","","","","",""
"DC160","Parks, public places, and nearby pleasures","Which park offers the flattest walking loop?","Idea","","","","","","",""
"DC161","Parks, public places, and nearby pleasures","Where can you watch the sunset from public land?","Idea","","","","","","",""
"DC162","Parks, public places, and nearby pleasures","Which public viewpoint has the widest visible horizon?","Idea","","","","","","",""
"DC163","Parks, public places, and nearby pleasures","Where are public benches concentrated?","Idea","","","","","","",""
"DC164","Parks, public places, and nearby pleasures","What is the longest downtown walk without a public bench?","Idea","","","","","","",""
"DC165","Parks, public places, and nearby pleasures","Where are drinking fountains—and when are they available?","Idea","","","","","","",""
"DC166","Parks, public places, and nearby pleasures","How far apart are public restrooms?","Idea","","","","","","",""
"DC167","Parks, public places, and nearby pleasures","Which playground is closest to a library?","Idea","","","","","","",""
"DC168","Parks, public places, and nearby pleasures","Can you build a stroller-friendly park-and-library outing?","Idea","","","","","","",""
"DC169","Parks, public places, and nearby pleasures","Which basketball courts are closest to one another?","Idea","","","","","","",""
"DC170","Parks, public places, and nearby pleasures","How evenly are public sports facilities distributed?","Idea","","","","","","",""
DC171,"Parks, public places, and nearby pleasures",Who were three people whose names survive in Syracuse parks?,Idea,,,,,,,
"DC172","Parks, public places, and nearby pleasures","Which park names describe features that are gone?","Idea","","","","","","",""
"DC173","Parks, public places, and nearby pleasures","How much parkland existed in different historical decades?","Idea","","","","","","",""
"DC174","Parks, public places, and nearby pleasures","Which proposed park never happened?","Idea","","","","","","",""
"DC175","Parks, public places, and nearby pleasures","Where did a former park become something else?","Idea","","","","","","",""
"DC176","Parks, public places, and nearby pleasures","Which overlooked public space is smaller than a house lot?","Idea","","","","","","",""
"DC177","Parks, public places, and nearby pleasures","Where do public stairs reveal the city’s topography?","Idea","","","","","","",""
"DC178","Parks, public places, and nearby pleasures","What is the longest continuous stretch of publicly accessible waterfront?","Idea","","","","","","",""
"DC179","Parks, public places, and nearby pleasures","Where can you hear traffic from almost every corner of a park?","Idea","","","","","","",""
"DC180","Parks, public places, and nearby pleasures","What would a tour of Syracuse’s tiniest public places look like?","Idea","","","","","","",""
"DC181","Libraries and the rhythms of community life","Which library is closest to the largest number of residents?","Idea","","","","","","",""
"DC182","Libraries and the rhythms of community life","Where is the longest walk to a library within the city?","Idea","","","","","","",""
"DC183","Libraries and the rhythms of community life","How different are library service areas by walking, driving, and transit?","Idea","","","","","","",""
"DC184","Libraries and the rhythms of community life","Which library can you reach from the most other branches without transferring?","Idea","","","","","","",""
"DC185","Libraries and the rhythms of community life","How much do library opening hours overlap?","Idea","","","","","","",""
"DC186","Libraries and the rhythms of community life","Where can you visit a library latest in the evening?","Idea","","","","","","",""
"DC187","Libraries and the rhythms of community life","How does Saturday library access differ across the county?","Idea","","","","","","",""
"DC188","Libraries and the rhythms of community life","What is the shortest route connecting every city library?","Idea","","","","","","",""
"DC189","Libraries and the rhythms of community life","What is the shortest route connecting every county library?","Idea","","","","","","",""
"DC190","Libraries and the rhythms of community life","Which branches have the largest nearby child populations?","Idea","","","","","","",""
"DC191","Libraries and the rhythms of community life","Which serve the largest nearby older-adult populations?","Idea","","","","","","",""
"DC192","Libraries and the rhythms of community life","Which serve areas with the greatest variety of home languages?","Idea","","","","","","",""
"DC193","Libraries and the rhythms of community life","How does library use change through the school year?","Idea","","","","","","",""
"DC194","Libraries and the rhythms of community life","Does summer bring more visits, more borrowing, or both?","Idea","","","","","","",""
"DC195","Libraries and the rhythms of community life","What is the busiest library month?","Idea","","","","","","",""
"DC196","Libraries and the rhythms of community life","Which library-use measure has changed most over a decade?","Idea","","","","","","",""
"DC197","Libraries and the rhythms of community life","How has digital borrowing changed relative to physical borrowing?","Idea","","","","","","",""
DC198,Libraries and the rhythms of community life,How has Central Library's share of recorded visits changed?,Idea,,,,,,,
DC199,Libraries and the rhythms of community life,How does attendance per recorded program compare between Central and the branches?,Idea,,,,,,,
"DC200","Libraries and the rhythms of community life","Which program categories fill the calendar most often?","Idea","","","","","","",""
"DC201","Libraries and the rhythms of community life","How much free programming happens on an ordinary Tuesday?","Idea","","","","","","",""
"DC202","Libraries and the rhythms of community life","Can you plan an entire free Saturday from library calendars?","Idea","","","","","","",""
"DC203","Libraries and the rhythms of community life","Which library buildings were originally something else?","Idea","","","","","","",""
"DC204","Libraries and the rhythms of community life","Where were Syracuse’s former library locations?","Idea","","","","","","",""
"DC205","Libraries and the rhythms of community life","How far have branches moved over their histories?","Idea","","","","","","",""
"DC206","Libraries and the rhythms of community life","What did the library system lend besides books in different eras?","Idea","","","","","","",""
"DC207","Libraries and the rhythms of community life","Which library statistic would surprise someone who has not visited recently?","Idea","","","","","","",""
"DC208","Libraries and the rhythms of community life","Do visits and circulation rise and fall together?","Idea","","","","","","",""
"DC209","Libraries and the rhythms of community life","What does an unusually busy library month look like in context?","Idea","","","","","","",""
DC210,Libraries and the rhythms of community life,What does a year of library activity look like month by month?,Idea,,,,,,,
"DC211","Food, shops, and everyday errands","Where in Syracuse are you farthest from a Dunkin’?","Idea","","","","","","",""
"DC212","Food, shops, and everyday errands","Where are you farthest from a pizza shop?","Idea","","","","","","",""
"DC213","Food, shops, and everyday errands","Which intersection gives you the most coffee choices within a short walk?","Idea","","","","","","",""
"DC214","Food, shops, and everyday errands","How many independent coffee shops fit inside one chain’s nearest-location territory?","Idea","","","","","","",""
"DC215","Food, shops, and everyday errands","Where do restaurant names repeat the same favorite words?","Idea","","","","","","",""
"DC216","Food, shops, and everyday errands","Which streets have the greatest variety of restaurant cuisines?","Idea","","","","","","",""
"DC217","Food, shops, and everyday errands","How does the restaurant map change after 10 p.m.?","Idea","","","","","","",""
"DC218","Food, shops, and everyday errands","Where can you get breakfast earliest?","Idea","","","","","","",""
"DC219","Food, shops, and everyday errands","Which neighborhoods have the most Sunday-morning food options?","Idea","","","","","","",""
"DC220","Food, shops, and everyday errands","Where can you complete the most ordinary errands on foot?","Idea","","","","","","",""
"DC221","Food, shops, and everyday errands","Which grocery trip is short by car but awkward by bus?","Idea","","","","","","",""
"DC222","Food, shops, and everyday errands","Where do convenience stores fill gaps between supermarkets?","Idea","","","","","","",""
"DC223","Food, shops, and everyday errands","Which residential areas are farthest from a laundromat?","Idea","","","","","","",""
"DC224","Food, shops, and everyday errands","Where can you buy groceries and visit a library on one walk?","Idea","","","","","","",""
"DC225","Food, shops, and everyday errands","Which commercial block has the smallest storefronts?","Idea","","","","","","",""
"DC226","Food, shops, and everyday errands","Which storefront has hosted the most documented business types?","Idea","","","","","","",""
DC227,"Food, shops, and everyday errands",How far back can we trace restaurant use at one Syracuse address?,Idea,,,,,,,
"DC228","Food, shops, and everyday errands","Which business names preserve vanished neighborhood names?","Idea","","","","","","",""
"DC229","Food, shops, and everyday errands","Where are businesses still known by a previous tenant’s name?","Idea","","","","","","",""
"DC230","Food, shops, and everyday errands","How many former corner stores are visible in residential neighborhoods?","Idea","","","","","","",""
"DC231","Food, shops, and everyday errands","Which intersections once had stores on all four corners?","Idea","","","","","","",""
"DC232","Food, shops, and everyday errands","How has the geography of movie theaters changed?","Idea","","","","","","",""
"DC233","Food, shops, and everyday errands","Where did neighborhood bakeries used to cluster?","Idea","","","","","","",""
"DC234","Food, shops, and everyday errands","What did one dollar buy in old Syracuse grocery advertisements?","Idea","","","","","","",""
"DC235","Food, shops, and everyday errands","Which foods appear most often in historical local restaurant ads?","Idea","","","","","","",""
"DC236","Food, shops, and everyday errands","What is the strangest product advertised as a local necessity?","Idea","","","","","","",""
"DC237","Food, shops, and everyday errands","How far did an ordinary grocery trip reach before supermarkets?","Idea","","","","","","",""
"DC238","Food, shops, and everyday errands","Which former shopping destination now has an entirely different purpose?","Idea","","","","","","",""
"DC239","Food, shops, and everyday errands","Can you map a day of meals using only longstanding local businesses?","Idea","","","","","","",""
"DC240","Food, shops, and everyday errands","What does the city look like if you map only ice-cream shops?","Idea","","","","","","",""
"DC241","The city hiding underneath the city","Which current street follows an old waterway?","Idea","","","","","","",""
"DC242","The city hiding underneath the city","Where does the Erie Canal’s route remain visible in parcel boundaries?","Idea","","","","","","",""
"DC243","The city hiding underneath the city","Which modern parking lot occupies a historically surprising site?","Idea","","","","","","",""
"DC244","The city hiding underneath the city","Where did railroad tracks become ordinary-looking property lines?","Idea","","","","","","",""
"DC245","The city hiding underneath the city","Which old railroad curve still shapes a building or street?","Idea","","","","","","",""
"DC246","The city hiding underneath the city","What occupied the site of your favorite park a century ago?","Idea","","","","","","",""
"DC247","The city hiding underneath the city","Which vanished bridge still has a visible approach?","Idea","","","","","","",""
"DC248","The city hiding underneath the city","Where did a street get straightened?","Idea","","","","","","",""
"DC249","The city hiding underneath the city","Which intersection used to have a completely different shape?","Idea","","","","","","",""
"DC250","The city hiding underneath the city","Which streets were renamed, and what were they called before?","Idea","","","","","","",""
"DC251","The city hiding underneath the city","Which street names moved from one location to another?","Idea","","","","","","",""
"DC252","The city hiding underneath the city","Where did city boundaries sit in different decades?","Idea","","","","","","",""
"DC253","The city hiding underneath the city","Which annexation most changed Syracuse’s shape?","Idea","","","","","","",""
