name,length_ft,components,wholly_inside
REINMAN ROAD,254.67155116943243,1,False
GARFIELD PLACE,255.84508306730476,1,True
PARKVIEW AVENUE,258.0040215552982,1,True
IRON PIER DRIVE,258.9706496272725,1,True
SALT SHED DRIVE,260.10109569018425,1,True
SENECA PLACE,261.79817259027345,1,True
STONE COURT,264.0133708714384,1,True
ORANGE ALLEY,264.3163926265406,1,True
ORWOOD PLACE,268.2480074150356,1,False
PENTA DRIVE,269.1047214506064,1,True
CRIPPEN PLACE,269.7432641060675,1,True
LONGMEADOW CIRCLE,270.89587495824895,1,True
PHELPS PLACE,271.6101973431252,1,True
BELLAIRE PLACE,272.9945655960526,1,True
KANE ROAD,279.37205341311784,1,True
ORISKANY DRIVE,279.5424090230298,1,True
WILSON PLACE,279.865291249763,1,True
WEST END DRIVE,280.0617611295658,1,True
SNELL TERRACE,280.1193972773351,1,True
GENANT TO NORTH CLINTON CONNECTOR,283.28165022967494,1,True
MARCIA STREET,284.56701070512145,1,True
HIGHLAND PLACE,285.8088831167311,1,True
ARGONNE DRIVE,287.29696090910625,1,True
ELLEN STREET,287.61693633126237,1,True
SAINT MARYS TERRACE,291.74575468455384,1,True
WILLISTON AVENUE,294.6525931685294,1,True
RANN AVENUE,296.6001844104033,1,True
BENDER STREET,298.7758209340166,1,True
WILKIE PLACE,300.70730656651597,1,True
MILFORD COURT,304.0993458757618,1,True
LANCASTER PLACE,304.268914025029,1,True
DUPLI PARK DRIVE,304.6783245327206,1,True
LACY PLACE,308.9456827818997,1,True
COSSITT STREET,315.01470471574,1,True
COMMONWEALTH AVENUE,315.84374204350183,1,True
OSWEGO BOULEVARD,316.74135678166306,1,True
SAILE STREET,317.19782737666833,1,True
EAST LAFAYETTE AVENUE,318.1712285285468,1,True
DARLINGTON ROAD EAST,320.5587956053686,1,False
CROTON TERRACE,321.27773936012403,1,True
FLORAL PARKWAY,323.3675964886662,1,True
EASTVIEW AVENUE,324.410789650134,1,True
ANGELOU TERRACE,329.2815735181619,1,True
ROCKFORD DRIVE,333.1074768529088,1,True
DAISY STREET,333.8922831266968,1,True
BURTEN STREET,334.6468608806156,1,True
LORETTO ROUNDABOUT,336.47530902436836,1,True
MARKET STREET,336.9585304061458,1,True
OAK PLACE,337.62935610090193,1,True
LARNED STREET,338.35179561318415,1,True
THIRD AVENUE,338.3681027942431,1,True
GALE AVENUE,339.3211796975703,1,True
GRASSMAN AVENUE,340.5993647734792,1,True
ROCKWOOD ROAD,341.9130024515637,1,True
EAST BRIGHTON AVENUE AVENUE NORTHBOUND,343.08153163253763,1,True
COYKENDALL AVENUE,344.21358799183315,1,True
EASTMAN AVENUE,344.9919122892224,1,True
WEST SCOTT AVENUE,345.86273760793176,1,True
BROWN STREET,346.5965693573749,1,True
VILLAGE DRIVE EXTENSION,348.6749935003087,1,True
BEAUMONT PLACE,350.7666077388312,1,True
KINCAID AVENUE,351.66810619576137,1,True
DOUGALL AVENUE,353.0942532244013,1,True
LATIMER TERRACE,353.4250104732121,1,True
EDGEWOOD DRIVE,354.359621479568,1,True
CHATHAM PLACE,355.53870338516884,1,True
STACY PLACE,357.4949571071928,1,True
BRONSON STREET,357.99853029649836,1,True
MARJORIE STREET,360.9961590173219,1,True
CHAVEZ TERRACE,361.8748103883647,1,True
ROSEWOOD STREET,366.07252535684097,1,True
STEWART COURT,366.37682584481075,1,True
JAMES HEATH ROAD,367.8196980747177,1,True
GARY AVENUE,370.27449720914444,1,True
ACORN PATH,373.7679898821417,1,True
WALTER DRIVE,373.8693018722478,1,False
HARTLEY STREET,374.20066524533104,1,True
NORTON AVENUE,374.29559028159326,1,True
WILMORE PLACE,375.5052421697989,1,False
AMIDON DRIVE,380.11093319737927,1,True
BRISTOL PLACE,381.12053811940154,1,True
TRAFFIC CIRCLE,381.23448548513403,1,True
NORMAN AVENUE,387.0302952161514,1,True
GRANDVIEW AVENUE,388.2475377432433,1,True
GROVE STREET,388.9490880244168,1,True
INVERNESS PLACE,389.6969449123771,1,True
SHERIDAN PLACE,391.01124773238104,1,True
BELLSHIRE LANE,394.79699897275293,1,True
KANDACE STREET,395.62545350436807,1,True
IVES AVENUE,395.65877328650816,1,True
MACDOUGALL PLACE,397.1656653713213,1,True
TYLER COURT,397.8791104291415,1,True
STEVENS PLACE,399.7666383693891,1,True
LOEHR AVENUE,401.0951799931017,1,True
ARDMORE PLACE,404.65232754645143,1,True
WEISER COURT,405.18554402610255,1,True
EAST OSTRANDER AVENUE,410.34549398998644,1,True
ELOISE TERRACE,411.73038508254626,1,True
HILLTOP ROAD,412.58459041091595,1,True
HENDERSON STREET,412.60677649571227,1,True
ROCK CUT ROUNDABAOUT,412.76072647712164,1,True
STONERIDGE DRIVE,414.8479555638763,1,False
MERZ AVENUE,416.42898480904256,1,True
DABLON COURT,416.6819688659563,1,True
BLOSSOM ROAD,418.67112158107574,1,True
PERSHING AVENUE,425.5794289393774,1,True
BALLARD AVENUE,426.5531183640122,1,True
WAITE AVENUE,427.1798599899848,1,True
OTTO STREET,427.489091239252,1,True
CREHANGE STREET,427.93748958549315,1,True
CHINOOK DRIVE SOUTH,429.61407819809966,1,True
MATTY AVENUE,430.58192879037193,1,True
PINE GROVE STREET,437.94174332114454,1,True
NORTH CHELTENHAM ROAD,440.6139077418888,1,True
BERNIE BLAKE DRIVE,447.2458405744724,1,True
DEWEY AVENUE,448.3883743802185,1,True
FISH AVENUE,449.2574308701994,1,True
HIGH STREET,449.97391703602165,1,True
BECKER STREET,450.1841429045053,1,True
CLAYTON AVENUE,451.54070186582356,1,True
SHERIDAN DRIVE,458.2913573091054,1,True
MORGAN AVENUE,459.57979872355315,1,True
RAYMOND AVENUE,461.45747264936387,1,True
COWIE AVENUE,470.020376738508,1,True
OBERST STREET,470.35977134293734,1,True
JUDSON STREET,470.8028899030311,1,True
HUNTER AVENUE,471.3027742857498,1,True
FORDLAND AVENUE,471.4708026921061,1,True
DELL STREET,473.03849612366963,1,True
MALCOLM STREET,473.30110574093726,1,True
RUSSELL PLACE,474.5984275568088,1,True
CUMMINGS AVENUE,476.96840719994543,1,True
KILLIAN DRIVE,477.4813348718051,1,True
ROCKWOOD PLACE,477.8671660692871,1,False
PENNSYLVANIA AVENUE,478.72840341944624,1,True
PASTIME DRIVE,479.2079329552376,1,True
CARLISLE STREET,480.1860673143895,1,True
EXCHANGE STREET,483.2715180380251,1,True
POND LANE,483.7551352784734,1,True
MCCARTHY AVENUE,485.2476212692371,1,True
GILBERT STREET,487.46917129035955,1,True
MANILLA STREET,487.9930218779964,1,True
ROSE AVENUE,488.531870901006,1,True
MCCORMICK AVENUE,489.3036696438901,1,True
HILLCREST ROAD,490.0176564616979,1,True
AVOCA STREET,496.9440647547479,1,True
SALT STREET,497.9681653679006,1,True
COURT TERRACE,498.4305222108383,1,True
AMES AVENUE,498.45604213561325,1,True
CODY AVENUE,500.2697878919132,1,True
BOISE DRIVE,500.9769123584866,1,True
CORDOVA STREET,503.4863732707815,1,True
HERZ STREET,503.61686373441324,1,True
TEMPLE PLACE,503.8364042400791,1,True
SAINT ANNE DRIVE,503.8715108753972,1,True
CLIFFSIDE DRIVE,503.98613179145065,1,True
GANNETT AVENUE,505.048472176947,1,True
SHELDON AVENUE,506.35339379099537,1,True
PHILLIPS ROAD,507.73695516436266,1,True
LEA LANE,508.1867959755015,1,True
ARSENAL DRIVE,510.99944718952906,1,True
CLOVER STREET,512.2198532421518,1,True
DYER COURT,513.3187989237695,1,True
CONAN STREET,514.2130219653814,1,True
PIERCE STREET,514.4065749474019,1,True
LOCK ALLEY,516.7296490879025,1,True
GEBHARDT AVENUE,517.1753285819384,1,True
TOWNSEND PLACE,518.1200731903316,1,True
KIRKWOOD PLACE,520.5106078957277,1,True
MINEOLA DRIVE,521.7103545929876,1,True
GRIFFIN STREET,521.7859441016649,1,True
HUGHES PLACE NORTH,524.7857189713873,1,True
NORTH LORRAINE AVENUE,524.8773586884837,1,True
GLAHN AVENUE,526.8876219371559,1,True
DILLAYE AVENUE,528.3104514847521,1,True
EAST BEARD AVENUE,529.256158945077,1,True
MARLETT STREET,531.0173255880192,1,True
BRACE STREET,533.0532321454594,1,True
WALLACE STREET,533.4747953565048,1,True
WELDON AVENUE,533.8375602620796,1,True
ARBOR LANE,534.2314554184126,1,False
EUCLID TERRACE,537.8659953805399,1,True
TRINITY PLACE,538.1863146863675,1,True
BUTLER STREET,548.7425787908736,1,True
SATURN DRIVE,549.1977145143708,1,True
MCCLURE AVENUE,549.21421206016,1,True
WINDEMERE ROAD,550.0577007267351,1,True
SCHOECK AVENUE,550.2368157338693,1,True
BEARD PLACE,552.4779896464235,1,True
HARRISON PLACE,557.5523288746604,1,True
HAFFENDEN ROAD,557.8579151703007,1,True
MCCHESNEY PARK DRIVE,559.1508656530457,1,True
NORTH WARREN STREET,559.8862430676214,1,True
MARK AVENUE,560.5245151244437,1,True
GRANT TERRACE,561.2465287986522,1,True
HUGHES PLACE,562.291273219703,1,True
JEAN AVENUE,563.706266542821,1,True
CHARLOTTE STREET,565.9107045306498,1,True
DEARBORN PLACE,567.6166738198693,1,True
RONEY ROAD,568.2728784957143,1,True
ELIZABETH BLACKWELL STREET,568.8392847231818,1,True
CRAFTON AVENUE,573.0379924478577,1,True
SARAH LOGUEN STREET,574.8552968547377,1,True
ETHEL STREET,575.0867034322649,1,True
STEVENS AVENUE,576.5224713054397,1,True
BRADFORD STREET,576.6240938540785,1,True
MAXWELL AVENUE,577.6470494928487,1,True
HAYES TERRACE,578.4335030065491,1,True
OAKDALE DRIVE,579.5273291772004,1,True
MICHAELS AVENUE,579.8005873648401,1,True
WILLIAMS STREET,579.826962706943,1,True
VALE STREET,580.3497950518002,1,True
RIVOLI AVENUE,582.1703233225206,1,True
GIMINSKI DRIVE,582.2722944074407,1,True
MORTON STREET,582.4463077818475,1,True
FOUNTAIN STREET,582.9225730931154,1,True
STRAND PLACE,585.5094687868066,1,True
HERTFORD STREET,589.5445661172605,1,True
ARNETT AVENUE,589.9464909975345,1,True
AVONDALE PLACE,590.6856646711065,1,True
HASBROUCK STREET,591.4184893317471,1,True
SIDNEY STREET,591.7283897471982,1,True
DEVINE STREET,592.6836036775193,1,True
RICHARDSON AVENUE,593.78291468408,1,True
SCHULER STREET,594.6932973991815,1,True
WELLINGTON PLACE,596.1848683428473,1,True
MILTON AVENUE SPUR,597.7916048922572,1,True
OLIVE STREET,599.617363979311,1,True
SCHOOL STREET,602.7703373368333,1,True
VIEAU DRIVE,607.5198869539067,1,True
HARBOR STREET,608.4032049618373,1,True
CITY CROSSROADS DRIVE,609.1479254444326,1,True
FOXBORO ROAD,610.9797851634711,1,True
SHARON DRIVE,613.0290620185453,1,True
HOLMES STREET,615.049298999586,1,True
MINERVA STREET,615.1769130529831,1,True
EAST MATSON AVENUE,619.4775436789536,1,True
MEDORA PLACE,620.6301119587409,1,True
WINDSOR PLACE,622.0956924144875,1,True
SOMERSET ROAD,624.2186439901715,1,False
MAURICE AVENUE,624.855618855578,1,True
NURSERY LANE,626.7189046666814,1,True
DEPALMA AVENUE,628.585379107135,1,True
CORAL AVENUE,628.9565323920788,1,True
SCHNEIDER STREET,629.4057272135293,1,True
ENFIELD PLACE,629.558679595357,1,True
EVALEEN AVENUE,629.7748686304215,1,True
CALVIN ROAD,630.0105157608236,1,True
BARKER AVENUE,631.3883758092101,1,True
WEBSTERS LANDING,631.8401713335143,1,True
KEEN PLACE,636.8350432116556,1,True
CORNELL AVENUE,638.3749864581572,1,True
BELLEVUE TERRACE,641.7879890924254,1,True
WEST BISSELL STREET,647.2838694320848,1,True
DIANA AVENUE,649.5898744207823,1,True
LINDEN STREET,650.6494437675592,1,True
DRISCOLL AVENUE,651.3469412747511,1,False
HURON STREET,653.6002292545497,1,True
GEORGE STREET,653.7867135802661,1,True
JEROME STREET,657.9816680748787,1,True
ACADEMY STREET,658.0524942285579,1,True
ALEXANDER AVENUE,658.2821061890995,1,True
HAWTHORNE STREET,659.055510403395,1,True
SEDGWICK ROAD,659.5888114014139,1,True
ARGYLE TERRACE,662.7694722832089,1,True
MCDONALD ROAD,663.8499006716639,1,False
OXFORD STREET,663.9918996026694,2,True
KLINE STREET,665.2666296195051,1,True
BUNGALOW TERRACE,669.1111851081046,1,True
KAPPESSER STREET,669.629959553979,1,True
DUNDEE DRIVE,673.4752320793211,1,True
KIDD AVENUE,673.6594198936162,1,True
UPLAND ROAD,675.2976149023516,1,True
BLAINE STREET,677.9280427893899,1,True
RILL AVENUE,681.6875232292554,1,True
SAFETY LANE,682.1863346240273,1,True
EASTWOOD ROAD,684.1132908351265,1,True
SLAYTON AVENUE,688.7259810574377,1,True
WEST WILLOW STREET,689.2090904630821,1,True
SUNNYSIDE PARK ROAD,689.3758468118904,1,True
HILLSBORO PLACE,692.4630740839142,1,True
DELHI STREET,693.6153493326578,1,True
MURRAY AVENUE,694.7859719390983,1,True
ARNTS PLACE,695.2747172541724,1,True
WORDEN AVENUE,695.7629186205907,1,True
BYRNE PLACE,696.0490066430143,1,True
SUNNYSIDE ROAD,702.4356864790319,1,True
HILTON ROAD,702.517077623374,1,True
JULIAN PLACE,703.5801328709819,1,True
JOSEPHINE STREET,703.8407633293085,1,True
PETERS STREET,706.0793760768344,1,True
STANDART STREET,706.5306917963026,1,True
OSTRAM AVENUE,707.888593067199,1,True
LYNWOOD AVENUE,709.9914608752176,1,True
AVON ROAD,712.1795404105394,1,True
TECUMSEH STREET,712.8354861344255,1,True
HODES WAY,713.6241594871764,1,True
SHERMAN STREET,715.7899934889666,1,False
FENTON STREET,717.5136205677215,1,True
LEWISTON DRIVE,720.8003657168094,1,True
CONGRESS AVENUE,721.5698891322972,1,True
SAINT MARKS AVENUE,723.1601629939452,1,True
MARGINAL STREET,728.6322203467266,1,True
MARIS DRIVE,728.6495871077285,1,True
VICTORIA PLACE,728.7244295959844,1,True
AMY STREET,730.4303544100264,1,True
SPAID AVENUE,730.9584368460792,1,True
FAIRDALE AVENUE,731.9480979910727,1,True
CUMBERLAND PLACE,732.3520176959267,1,True
ATKINSON AVENUE,732.4641044622309,1,True
BRADFORD LANE,732.8141336273194,1,False
OAKLAND STREET,733.3327161510861,1,True
JACLYN DRIVE,734.3864650338882,1,True
HENSBERRY ROAD,737.1816735802684,1,True
HIAWATHA PLACE,738.8435231739504,1,True
FEIGEL AVENUE,744.9096520723941,1,True
MARVIN ROAD,745.4627413319066,1,True
MCALLISTER AVENUE,755.1796177267488,1,True
WEST WARRINGTON ROAD,758.0040714996168,1,True
INTREPID LANE,763.2300169545568,1,True
NEUTRAL COURT,763.2314289459156,1,True
GAME ROAD,763.899080548734,1,True
WHITE STREET,764.2928583719342,1,True
SPRINGBROOK AVENUE,764.7756886690186,1,True
RAMSEY AVENUE,766.8522251159259,1,True
CRESLINE DRIVE,767.9517929711403,1,True
JANET DRIVE,768.5090769704385,1,False
HUNTINGTON ROAD,769.9017712019328,1,True
ONONDAGA PARK DRIVE EAST,770.0817974264498,1,True
REDFIELD PLACE,770.242057044125,1,True
CADWELL STREET,770.9902845357736,1,True
SCHILLER AVENUE,773.9057780234568,1,True
EDTIM ROAD,774.2298908646736,1,True
OAK LEAF DRIVE,784.3901299928907,1,True
SEELEY AVENUE,788.7575055624028,1,True
ANNETTA STREET,789.4434338297319,1,True
CHESTER STREET,790.9062358117941,1,True
ELIZABETH STREET,791.1430140467835,1,True
FLETCHER AVENUE,792.2227188713969,2,True
CORTLAND PLACE,793.6061870190864,1,True
WOODLAWN TERRACE,793.8417204627866,1,True
WEST CHELTENHAM ROAD,794.5879778726185,1,True
GORLAND AVENUE,795.7276852541354,1,True
CRATON STREET,798.0268411002229,1,True
WOLCOTT TERRACE,798.1109224861906,1,True
ANDOVER ROAD,798.7934890704353,1,True
MUNSON DRIVE,800.9482785692726,1,True
SWEETING STREET,802.796805769325,1,True
JUNEWAY ROAD,803.1289475353749,1,True
BROOKLEA DRIVE,804.2847060885609,1,True
HOBART AVENUE,806.4955354478569,1,True
CONKLIN AVENUE,806.8461729245028,1,True
ISABELLA STREET,807.6601681615557,1,True
JACKSON STREET,813.106115769402,1,True
EUREKA STREET,814.5689843199438,1,True
BEACON ROAD,814.6820401429477,2,True
LAFORTE AVENUE,817.0247031504377,1,True
RANDALL AVENUE,818.1254665082936,1,True
NEW STREET,818.4597688570828,1,True
UNION AVENUE,821.2775524841923,1,True
DELONG AVENUE,825.6224226214251,1,True
TERRACE ROAD,828.9711207656732,1,True
MALTBIE STREET,832.3504931384192,1,True
MAPLE TERRACE,832.4207626151624,1,True
RUSKIN AVENUE,833.7520495649896,1,True
GRANGER STREET,836.2359236900116,2,True
SHOECRAFT ROAD,837.5647585777443,1,True
DICKERSON STREET,839.2148783667791,1,True
MAYAR STREET,843.3478513006557,1,True
RONEY LANE,846.5873383831112,1,True
LYNCH STREET,847.4526725361824,1,True
ALDEN STREET,849.4069601299088,1,True
OLD LIVERPOOL ROAD,850.6785976109179,2,False
ONONDAGA TERRACE,852.0332467416097,1,True
RANDOLPH STREET,854.0781726219208,1,True
DIDAMA STREET,855.0082706999438,1,True
MENLO DRIVE,855.787693858104,1,True
NORTH WEST STREET,859.9346284884709,1,True
CHENEY STREET,861.6566548991941,1,True
HAMPSHIRE ROAD,862.9570120149855,1,True
WENTE TERRACE,865.2544449062237,1,True
GRAY AVENUE,865.7135504665985,1,True
WEST ADAMS STREET,867.134160949295,1,True
GREENWAY AVENUE,870.2618968117278,1,True
FORDHAM ROAD,870.2944626779664,1,True
CULVER DRIVE,873.0276513803763,1,True
BENNINGTON DRIVE,878.3238680204744,1,True
ARCHER ROAD,881.3449753472679,1,True
GIRARD AVENUE,883.0428776544655,1,True
WOODLAND AVENUE,884.539732361324,2,True
HAROLD STREET,888.1183048355101,1,True
BERWYN AVENUE,889.0406701467125,1,True
COOK AVENUE,889.2691091072114,1,True
ONTARIO STREET,890.7392270083122,1,True
MERRELL ROAD,897.9782872509891,1,False
MAYWOOD DRIVE,900.2900576472929,1,True
GERE AVENUE,901.3491041002012,1,True
CANDEE AVENUE,903.7899621352959,1,True
WEST LYNHURST AVENUE,904.3713326571859,1,True
CRESCENT AVENUE,904.6967819103749,1,True
DORSET ROAD,906.000030454872,1,True
CHATHAM ROAD,906.5736858008829,1,True
BEVERLY ROAD,908.4154644898474,1,True
ARCH STREET,909.4136381251325,1,True
FERRIS AVENUE,913.5540849719127,1,True
CRIPPEN AVENUE,914.5912927326675,1,True
SHIRLEY ROAD,921.9563852738287,1,True
BANK ALLEY,923.0626658299078,1,True
FAIRVIEW AVENUE,924.5000755196766,1,True
FAGE AVENUE,925.7361691107089,1,True
SPAULDING AVENUE,926.6249833019232,1,True
SMITH ROAD,928.8810006628116,1,True
EAST BISSELL STREET,929.2637687458147,1,True
HERBST AVENUE,929.7843462191064,1,True
LEON STREET,930.1608529657562,1,True
NORMANOR DRIVE,935.791525901737,1,True
FERNWOOD AVENUE,936.5873911916801,1,True
CURTIS STREET,936.7549234118056,1,True
PATTISON STREET,938.8519666245652,1,True
AMHERST AVENUE,940.7796799227182,1,True
KNAUL STREET,944.0402055749155,1,True
RICHARD ROAD,944.6666126054581,1,False
MAY AVENUE,946.4311426612054,1,True
CEDAR RIDGE APARTMENTS,947.0221095054472,1,True
VALLEY VIEW DRIVE,947.2622272238121,1,True
KING STREET,947.635744144995,1,True
LYNN CIRCLE,953.6972439735373,1,True
KINGSLEY PLACE,958.8806844536367,1,True
CAMP AVENUE,959.0026202599654,1,True
UNION PLACE,959.6357836664936,2,True
CROYDEN ROAD,962.589511283663,1,True
EAST CATHROP AVENUE,962.7149767456675,1,True
SAINT LOUIS AVENUE,966.4392695516837,1,True
COMSTOCK PLACE,969.7048137116254,1,True
CIRCLE ROAD,970.5812374841994,1,True
HERBERT STREET,971.2446175956306,1,True
ARDEN DRIVE,973.3893519415706,1,True
GREENLAND DRIVE,979.411064283667,1,True
HENRY STREET,981.9479869974615,1,True
MARQUETTE STREET,986.5053395707578,2,True
RUTH AVENUE,988.1341590087084,1,True
KINNE STREET,989.6614182692817,1,True
BALDWIN AVENUE,990.2866729210821,1,True
BURLINGAME ROAD,992.7237352935689,1,True
KUHL AVENUE,1000.657311813733,1,True
EMPIRE AVENUE,1001.1974939433866,1,True
ENGLERT AVENUE,1001.610963590924,1,True
ROCKLAND AVENUE,1002.4851956594094,1,True
LAWRENCE STREET,1006.860596290904,1,True
DUANE STREET,1007.2308008018964,1,True
STEUBEN STREET,1008.4130510029736,1,True
SOUTH CARBON STREET,1008.8070052455907,1,True
MARKLAND AVENUE,1010.3676375811775,1,True
ELSNER STREET,1019.0828875478312,1,True
ELDORADO STREET,1020.6502547446286,1,True
SUNSTRUCK DRIVE,1021.9222500398197,1,True
HOLDEN STREET,1021.9901258860032,1,True
WEST FLORENCE AVENUE,1026.279950548016,1,True
SHIRLEY DRIVE,1026.7025658354448,1,True
CLARKE STREET,1026.7828619219638,1,True
GUILFORD ROAD,1026.9279518198873,2,True
WAYNE STREET,1027.4257812030746,1,True
SAND STREET,1027.618121214277,2,True
COLUMBIA AVENUE,1029.809817624911,1,True
CLAIRE ROAD,1033.073134120832,1,True
COLBY AVENUE,1034.5747623412342,1,True
HIGHPOINT STREET,1038.5481116839517,1,True
WILSON STREET,1041.0830415393627,1,True
NORTH WILBUR AVENUE,1045.8202428185175,1,True
MCKINLEY AVENUE,1047.9985838952628,1,True
BALL CIRCLE,1049.1573816393163,1,True
SWANSEA DRIVE,1051.4963026354608,1,False
ALTON STREET,1053.5612905021683,1,True
BENEDICT AVENUE,1054.5674817247946,1,True
COMSTOCK ART,1055.51026249023,1,True
FAIRFIELD AVENUE,1055.8717184670804,1,True
EAST CHAFFEE AVENUE,1057.5463263503973,1,True
FISCOE AVENUE,1057.6200907148427,1,True
SLOCUM AVENUE,1059.7587851285286,1,True
LOCKESLEY ROAD,1063.8472324132608,1,True
FORD AVENUE,1063.8853640339846,1,True
WINDHAM DRIVE,1071.0497098006128,1,True
LISTMAN AVENUE,1072.9448261423188,1,True
BARRETT STREET,1073.948269016671,1,True
WARHAM STREET,1079.162954874673,1,True
SHERBOURNE ROAD,1080.032174494076,1,True
APPLE STREET,1083.2068353964967,1,True
THURLOW DRIVE,1083.2682570536824,1,True
WEST GLEN AVENUE,1084.7956227800344,1,True
CHURCHILL AVENUE,1089.4047473799224,1,True
SACKETT STREET,1090.76706714833,1,True
ORLANDO AVENUE,1093.2545452965044,1,True
HERALD PLACE,1093.9040487193313,1,True
SENECA STREET,1095.9501988829315,1,True
ELMWOOD AVENUE,1102.7076449548408,1,True
DAWES AVENUE,1106.8926328516748,1,True
PACIFIC AVENUE,1110.4430690720349,1,True
ROSEMONT DRIVE,1110.9700602897972,1,True
MOONEY AVENUE,1112.4415382851582,1,True
HAYDEN AVENUE,1115.2599071820339,1,True
PARKSIDE AVENUE,1117.7455470585326,1,True
TEJAH AVENUE,1120.7638722933675,1,True
EDGEWOOD AVENUE,1123.0506953446263,1,True
WIMAN AVENUE,1128.9790293315266,1,True
HARRIETTE AVENUE,1134.8167035226716,1,True
ROBERT DRIVE,1135.7731227156562,1,True
KIMBER AVENUE,1137.3105753787524,1,True
EAST FLORENCE AVENUE,1138.0328188293822,1,True
COLLEGE PLACE,1139.6708597316556,1,True
ONONDAGA LAKE PARKWAY,1141.216173215277,2,False
ELLIS STREET,1141.5161710268776,1,True
SMITH LANE,1142.0803476808355,1,True
HERRIMAN STREET,1145.444634141191,1,True
WOOD AVENUE,1150.259132138618,1,True
KRAMER DRIVE,1153.7189800579915,1,True
OVERLOOK DRIVE,1153.7816072716075,1,True
EDGEHILL ROAD,1154.945408040149,1,True
