name,base,suffix,base_characters,full_characters,suffix_characters,suffix_minus_base
FAY ROAD,FAY,ROAD,3,7,4,1
LEA LANE,LEA,LANE,3,7,4,1
AVON ROAD,AVON,ROAD,4,8,4,0
CROUSE DR,CROUSE DR,,8,8,0,-8
EDNA ROAD,EDNA,ROAD,4,8,4,0
GAME ROAD,GAME,ROAD,4,8,4,0
HODES WAY,HODES,WAY,5,8,3,-2
KANE ROAD,KANE,ROAD,4,8,4,0
OAK PLACE,OAK,PLACE,3,8,5,2
PARK ROAD,PARK,ROAD,4,8,4,0
POND LANE,POND,LANE,4,8,4,0
ROSS PARK,ROSS,PARK,4,8,4,0
ACORN PATH,ACORN,PATH,5,9,4,-1
AMY STREET,AMY,STREET,3,9,6,3
ARBOR LANE,ARBOR,LANE,5,9,4,-1
ASH STREET,ASH,STREET,3,9,6,3
BANK ALLEY,BANK,ALLEY,4,9,5,1
DUKE DRIVE,DUKE,DRIVE,4,9,5,1
DYER COURT,DYER,COURT,4,9,5,1
EDTIM ROAD,EDTIM,ROAD,5,9,4,-1
ELK STREET,ELK,STREET,3,9,6,3
ELM STREET,ELM,STREET,3,9,6,3
GAGE COURT,GAGE,COURT,4,9,5,1
GAIS DRIVE,GAIS,DRIVE,4,9,5,1
IDA AVENUE,IDA,AVENUE,3,9,6,3
KEEN PLACE,KEEN,PLACE,4,9,5,1
LACY PLACE,LACY,PLACE,4,9,5,1
LOCK ALLEY,LOCK,ALLEY,4,9,5,1
MAY AVENUE,MAY,AVENUE,3,9,6,3
NEW STREET,NEW,STREET,3,9,6,3
OAK STREET,OAK,STREET,3,9,6,3
ROE AVENUE,ROE,AVENUE,3,9,6,3
RONEY LANE,RONEY,LANE,5,9,4,-1
RONEY ROAD,RONEY,ROAD,5,9,4,-1
RUGBY ROAD,RUGBY,ROAD,5,9,4,-1
SMALL ROAD,SMALL,ROAD,5,9,4,-1
SMITH LANE,SMITH,LANE,5,9,4,-1
SMITH ROAD,SMITH,ROAD,5,9,4,-1
WILL COURT,WILL,COURT,4,9,5,1
ALBERT ROAD,ALBERT,ROAD,6,10,4,-2
AMES AVENUE,AMES,AVENUE,4,10,6,2
ARCH STREET,ARCH,STREET,4,10,6,2
ARCHER ROAD,ARCHER,ROAD,6,10,4,-2
ARDEN DRIVE,ARDEN,DRIVE,5,10,5,0
ARNTS PLACE,ARNTS,PLACE,5,10,5,0
BALL AVENUE,BALL,AVENUE,4,10,6,2
BALL CIRCLE,BALL,CIRCLE,4,10,6,2
BEACON ROAD,BEACON,ROAD,6,10,4,-2
BEAR STREET,BEAR,STREET,4,10,6,2
BEARD PLACE,BEARD,PLACE,5,10,5,0
BOISE DRIVE,BOISE,DRIVE,5,10,5,0
BURT STREET,BURT,STREET,4,10,6,2
BYRNE PLACE,BYRNE,PLACE,5,10,5,0
CALVIN ROAD,CALVIN,ROAD,6,10,4,-2
CAMP AVENUE,CAMP,AVENUE,4,10,6,2
CHAPPLE WAY,CHAPPLE,WAY,7,10,3,-4
CIRCLE ROAD,CIRCLE,ROAD,6,10,4,-2
CLAIRE ROAD,CLAIRE,ROAD,6,10,4,-2
CODY AVENUE,CODY,AVENUE,4,10,6,2
COOK AVENUE,COOK,AVENUE,4,10,6,2
DALE STREET,DALE,STREET,4,10,6,2
DELL STREET,DELL,STREET,4,10,6,2
DEWITT ROAD,DEWITT,ROAD,6,10,4,-2
DODGE DRIVE,DODGE,DRIVE,5,10,5,0
DORSET ROAD,DORSET,ROAD,6,10,4,-2
EAST AVENUE,EAST,AVENUE,4,10,6,2
ERIE STREET,ERIE,STREET,4,10,6,2
FAGE AVENUE,FAGE,AVENUE,4,10,6,2
FISH AVENUE,FISH,AVENUE,4,10,6,2
FORD AVENUE,FORD,AVENUE,4,10,6,2
GALE AVENUE,GALE,AVENUE,4,10,6,2
GALE STREET,GALE,STREET,4,10,6,2
GARY AVENUE,GARY,AVENUE,4,10,6,2
GERE AVENUE,GERE,AVENUE,4,10,6,2
GRAY AVENUE,GRAY,AVENUE,4,10,6,2
HADDON ROAD,HADDON,ROAD,6,10,4,-2
HALL AVENUE,HALL,AVENUE,4,10,6,2
HERZ STREET,HERZ,STREET,4,10,6,2
HIER AVENUE,HIER,AVENUE,4,10,6,2
HIGH STREET,HIGH,STREET,4,10,6,2
HILTON ROAD,HILTON,ROAD,6,10,4,-2
HOOD AVENUE,HOOD,AVENUE,4,10,6,2
HOPE AVENUE,HOPE,AVENUE,4,10,6,2
HOPPER ROAD,HOPPER,ROAD,6,10,4,-2
HUNT AVENUE,HUNT,AVENUE,4,10,6,2
IVES AVENUE,IVES,AVENUE,4,10,6,2
JANET DRIVE,JANET,DRIVE,5,10,5,0
JEAN AVENUE,JEAN,AVENUE,4,10,6,2
JOHN STREET,JOHN,STREET,4,10,6,2
KIDD AVENUE,KIDD,AVENUE,4,10,6,2
KIMBER ROAD,KIMBER,ROAD,6,10,4,-2
KING STREET,KING,STREET,4,10,6,2
KIRK AVENUE,KIRK,AVENUE,4,10,6,2
KUHL AVENUE,KUHL,AVENUE,4,10,6,2
LEON STREET,LEON,STREET,4,10,6,2
LIGHT COURT,LIGHT,COURT,5,10,5,0
LIME STREET,LIME,STREET,4,10,6,2
LODI STREET,LODI,STREET,4,10,6,2
LOMA AVENUE,LOMA,AVENUE,4,10,6,2
LYNN CIRCLE,LYNN,CIRCLE,4,10,6,2
MANOR DRIVE,MANOR,DRIVE,5,10,5,0
MARIS DRIVE,MARIS,DRIVE,5,10,5,0
MARK AVENUE,MARK,AVENUE,4,10,6,2
MARVIN ROAD,MARVIN,ROAD,6,10,4,-2
MARY STREET,MARY,STREET,4,10,6,2
MEADE COURT,MEADE,COURT,5,10,5,0
MENLO DRIVE,MENLO,DRIVE,5,10,5,0
MERZ AVENUE,MERZ,AVENUE,4,10,6,2
OTTO STREET,OTTO,STREET,4,10,6,2
PAGE AVENUE,PAGE,AVENUE,4,10,6,2
PALMER LANE,PALMER,LANE,6,10,4,-2
PARK AVENUE,PARK,AVENUE,4,10,6,2
PARK STREET,PARK,STREET,4,10,6,2
PAUL AVENUE,PAUL,AVENUE,4,10,6,2
PEAT STREET,PEAT,STREET,4,10,6,2
PECK AVENUE,PECK,AVENUE,4,10,6,2
PENTA DRIVE,PENTA,DRIVE,5,10,5,0
PINE STREET,PINE,STREET,4,10,6,2
PLUM STREET,PLUM,STREET,4,10,6,2
POLK STREET,POLK,STREET,4,10,6,2
POND STREET,POND,STREET,4,10,6,2
RANN AVENUE,RANN,AVENUE,4,10,6,2
REED AVENUE,REED,AVENUE,4,10,6,2
RICH STREET,RICH,STREET,4,10,6,2
RIGI AVENUE,RIGI,AVENUE,4,10,6,2
RILL AVENUE,RILL,AVENUE,4,10,6,2
ROSE AVENUE,ROSE,AVENUE,4,10,6,2
RUTH AVENUE,RUTH,AVENUE,4,10,6,2
SAFETY LANE,SAFETY,LANE,6,10,4,-2
SALT STREET,SALT,STREET,4,10,6,2
SAND STREET,SAND,STREET,4,10,6,2
SEELEY ROAD,SEELEY,ROAD,6,10,4,-2
SIMON DRIVE,SIMON,DRIVE,5,10,5,0
SKYTOP ROAD,SKYTOP,ROAD,6,10,4,-2
SPRING LANE,SPRING,LANE,6,10,4,-2
STACY PLACE,STACY,PLACE,5,10,5,0
STONE COURT,STONE,COURT,5,10,5,0
TAFT AVENUE,TAFT,AVENUE,4,10,6,2
TITUS ALLEY,TITUS,ALLEY,5,10,5,0
TYLER COURT,TYLER,COURT,5,10,5,0
TYSON PLACE,TYSON,PLACE,5,10,5,0
UNION PLACE,UNION,PLACE,5,10,5,0
UPLAND ROAD,UPLAND,ROAD,6,10,4,-2
VALE STREET,VALE,STREET,4,10,6,2
VANN STREET,VANN,STREET,4,10,6,2
VIEAU DRIVE,VIEAU,DRIVE,5,10,5,0
VINE STREET,VINE,STREET,4,10,6,2
WALL STREET,WALL,STREET,4,10,6,2
WILL AVENUE,WILL,AVENUE,4,10,6,2
WOLF STREET,WOLF,STREET,4,10,6,2
WOOD AVENUE,WOOD,AVENUE,4,10,6,2
YALE AVENUE,YALE,AVENUE,4,10,6,2
ALANSON ROAD,ALANSON,ROAD,7,11,4,-3
ALDEN STREET,ALDEN,STREET,5,11,6,1
ALLEN STREET,ALLEN,STREET,5,11,6,1
ALTON STREET,ALTON,STREET,5,11,6,1
AMIDON DRIVE,AMIDON,DRIVE,6,11,5,-1
ANDOVER ROAD,ANDOVER,ROAD,7,11,4,-3
APPLE STREET,APPLE,STREET,5,11,6,1
ARDMORE ROAD,ARDMORE,ROAD,7,11,4,-3
AVERY AVENUE,AVERY,AVENUE,5,11,6,1
AVOCA STREET,AVOCA,STREET,5,11,6,1
BAKER AVENUE,BAKER,AVENUE,5,11,6,1
BASIN STREET,BASIN,STREET,5,11,6,1
BELLE AVENUE,BELLE,AVENUE,5,11,6,1
BEVERLY ROAD,BEVERLY,ROAD,7,11,4,-3
BLOSSOM ROAD,BLOSSOM,ROAD,7,11,4,-3
BOYDEN PLACE,BOYDEN,PLACE,6,11,5,-1
BRACE STREET,BRACE,STREET,5,11,6,1
BRATTLE ROAD,BRATTLE,ROAD,7,11,4,-3
BROAD STREET,BROAD,STREET,5,11,6,1
BRONX AVENUE,BRONX,AVENUE,5,11,6,1
BROWN STREET,BROWN,STREET,5,11,6,1
BRUCE STREET,BRUCE,STREET,5,11,6,1
BURNS AVENUE,BURNS,AVENUE,5,11,6,1
CALEB AVENUE,CALEB,AVENUE,5,11,6,1
CANAL STREET,CANAL,STREET,5,11,6,1
CARLTON ROAD,CARLTON,ROAD,7,11,4,-3
CEDAR STREET,CEDAR,STREET,5,11,6,1
CHATHAM ROAD,CHATHAM,ROAD,7,11,4,-3
CLYDE AVENUE,CLYDE,AVENUE,5,11,6,1
COFFEY DRIVE,COFFEY,DRIVE,6,11,5,-1
COLBY AVENUE,COLBY,AVENUE,5,11,6,1
COMSTOCK ART,COMSTOCK ART,,11,11,0,-11
CONAN STREET,CONAN,STREET,5,11,6,1
CORAL AVENUE,CORAL,AVENUE,5,11,6,1
COURT STREET,COURT,STREET,5,11,6,1
COWIE AVENUE,COWIE,AVENUE,5,11,6,1
CRAIG STREET,CRAIG,STREET,5,11,6,1
CROLY STREET,CROLY,STREET,5,11,6,1
CROYDEN ROAD,CROYDEN,ROAD,7,11,4,-3
CULVER DRIVE,CULVER,DRIVE,6,11,5,-1
DABLON COURT,DABLON,COURT,6,11,5,-1
DAISY STREET,DAISY,STREET,5,11,6,1
DAKIN STREET,DAKIN,STREET,5,11,6,1
DAVIS STREET,DAVIS,STREET,5,11,6,1
DAWES AVENUE,DAWES,AVENUE,5,11,6,1
DELHI STREET,DELHI,STREET,5,11,6,1
DEMONG DRIVE,DEMONG,DRIVE,6,11,5,-1
DEWEY AVENUE,DEWEY,AVENUE,5,11,6,1
DIANA AVENUE,DIANA,AVENUE,5,11,6,1
DOLL PARKWAY,DOLL,PARKWAY,4,11,7,3
DUANE STREET,DUANE,STREET,5,11,6,1
DUNDEE DRIVE,DUNDEE,DRIVE,6,11,5,-1
ELLEN STREET,ELLEN,STREET,5,11,6,1
ELLIS STREET,ELLIS,STREET,5,11,6,1
ESSEX STREET,ESSEX,STREET,5,11,6,1
ETHEL STREET,ETHEL,STREET,5,11,6,1
EVANS STREET,EVANS,STREET,5,11,6,1
FENWAY DRIVE,FENWAY,DRIVE,6,11,5,-1
FITCH STREET,FITCH,STREET,5,11,6,1
FOBES AVENUE,FOBES,AVENUE,5,11,6,1
FORDHAM ROAD,FORDHAM,ROAD,7,11,4,-3
FOXBORO ROAD,FOXBORO,ROAD,7,11,4,-3
GENANT DRIVE,GENANT,DRIVE,6,11,5,-1
GLAHN AVENUE,GLAHN,AVENUE,5,11,6,1
GRACE STREET,GRACE,STREET,5,11,6,1
GRAND AVENUE,GRAND,AVENUE,5,11,6,1
GRANT AVENUE,GRANT,AVENUE,5,11,6,1
GREEN STREET,GREEN,STREET,5,11,6,1
GROVE STREET,GROVE,STREET,5,11,6,1
HAMPTON ROAD,HAMPTON,ROAD,7,11,4,-3
HARFORD ROAD,HARFORD,ROAD,7,11,4,-3
HATCH STREET,HATCH,STREET,5,11,6,1
HELEN STREET,HELEN,STREET,5,11,6,1
HENRY STREET,HENRY,STREET,5,11,6,1
HERALD PLACE,HERALD,PLACE,6,11,5,-1
HILLTOP ROAD,HILLTOP,ROAD,7,11,4,-3
HOVEY STREET,HOVEY,STREET,5,11,6,1
HUGHES PLACE,HUGHES,PLACE,6,11,5,-1
HURON STREET,HURON,STREET,5,11,6,1
JACLYN DRIVE,JACLYN,DRIVE,6,11,5,-1
JAMES STREET,JAMES,STREET,5,11,6,1
JASPER PLACE,JASPER,PLACE,6,11,5,-1
JULIAN PLACE,JULIAN,PLACE,6,11,5,-1
JUNEWAY ROAD,JUNEWAY,ROAD,7,11,4,-3
KINNE STREET,KINNE,STREET,5,11,6,1
KLINE STREET,KLINE,STREET,5,11,6,1
KNAUL STREET,KNAUL,STREET,5,11,6,1
KRAMER DRIVE,KRAMER,DRIVE,6,11,5,-1
LATTER DRIVE,LATTER,DRIVE,6,11,5,-1
LEPAGE PLACE,LEPAGE,PLACE,6,11,5,-1
LEWIS STREET,LEWIS,STREET,5,11,6,1
LILAC STREET,LILAC,STREET,5,11,6,1
LOEHR AVENUE,LOEHR,AVENUE,5,11,6,1
LYNCH AVENUE,LYNCH,AVENUE,5,11,6,1
LYNCH STREET,LYNCH,STREET,5,11,6,1
MAINS AVENUE,MAINS,AVENUE,5,11,6,1
MAPLE STREET,MAPLE,STREET,5,11,6,1
MATTY AVENUE,MATTY,AVENUE,5,11,6,1
MAYAR STREET,MAYAR,STREET,5,11,6,1
MEDORA PLACE,MEDORA,PLACE,6,11,5,-1
MERRELL ROAD,MERRELL,ROAD,7,11,4,-3
MILES AVENUE,MILES,AVENUE,5,11,6,1
MOORE AVENUE,MOORE,AVENUE,5,11,6,1
MOREY AVENUE,MOREY,AVENUE,5,11,6,1
MOSLEY DRIVE,MOSLEY,DRIVE,6,11,5,-1
MUNSON DRIVE,MUNSON,DRIVE,6,11,5,-1
NIVEN STREET,NIVEN,STREET,5,11,6,1
NORTH AVENUE,NORTH,AVENUE,5,11,6,1
NURSERY LANE,NURSERY,LANE,7,11,4,-3
OLIVE STREET,OLIVE,STREET,5,11,6,1
ORANGE ALLEY,ORANGE,ALLEY,6,11,5,-1
ORWOOD PLACE,ORWOOD,PLACE,6,11,5,-1
PARRISH LANE,PARRISH,LANE,7,11,4,-3
PEARL STREET,PEARL,STREET,5,11,6,1
PHELPS PLACE,PHELPS,PLACE,6,11,5,-1
REINMAN ROAD,REINMAN,ROAD,7,11,4,-3
RICHARD ROAD,RICHARD,ROAD,7,11,4,-3
RIDER AVENUE,RIDER,AVENUE,5,11,6,1
ROBERT DRIVE,ROBERT,DRIVE,6,11,5,-1
ROCK CUT ROAD,ROCK CUT,ROAD,7,11,4,-3
ROXBURY ROAD,ROXBURY,ROAD,7,11,4,-3
SAILE STREET,SAILE,STREET,5,11,6,1
SATURN DRIVE,SATURN,DRIVE,6,11,5,-1
SCOTT AVENUE,SCOTT,AVENUE,5,11,6,1
SENECA DRIVE,SENECA,DRIVE,6,11,5,-1
SENECA PLACE,SENECA,PLACE,6,11,5,-1
SHARON DRIVE,SHARON,DRIVE,6,11,5,-1
SHIRLEY ROAD,SHIRLEY,ROAD,7,11,4,-3
SIZER STREET,SIZER,STREET,5,11,6,1
SLOCUM DRIVE,SLOCUM,DRIVE,6,11,5,-1
SMILEY DRIVE,SMILEY,DRIVE,6,11,5,-1
SMITH STREET,SMITH,STREET,5,11,6,1
SOLAR STREET,SOLAR,STREET,5,11,6,1
SOUTH AVENUE,SOUTH,AVENUE,5,11,6,1
SPAID AVENUE,SPAID,AVENUE,5,11,6,1
STOLP AVENUE,STOLP,AVENUE,5,11,6,1
STRAND PLACE,STRAND,PLACE,6,11,5,-1
TEALL AVENUE,TEALL,AVENUE,5,11,6,1
TEJAH AVENUE,TEJAH,AVENUE,5,11,6,1
TEMPLE PLACE,TEMPLE,PLACE,6,11,5,-1
TERRACE ROAD,TERRACE,ROAD,7,11,4,-3
THIRD AVENUE,THIRD,AVENUE,5,11,6,1
TIOGA STREET,TIOGA,STREET,5,11,6,1
TRACY STREET,TRACY,STREET,5,11,6,1
TULLY STREET,TULLY,STREET,5,11,6,1
UNION AVENUE,UNION,AVENUE,5,11,6,1
VALLEY DRIVE,VALLEY,DRIVE,6,11,5,-1
VELASKO ROAD,VELASKO,ROAD,7,11,4,-3
WAITE AVENUE,WAITE,AVENUE,5,11,6,1
WALNUT PLACE,WALNUT,PLACE,6,11,5,-1
WALRATH ROAD,WALRATH,ROAD,7,11,4,-3
WALTER DRIVE,WALTER,DRIVE,6,11,5,-1
WARNER COURT,WARNER,COURT,6,11,5,-1
WAYNE STREET,WAYNE,STREET,5,11,6,1
WEISER COURT,WEISER,COURT,6,11,5,-1
WHEATON ROAD,WHEATON,ROAD,7,11,4,-3
WHITE STREET,WHITE,STREET,5,11,6,1
WILKIE PLACE,WILKIE,PLACE,6,11,5,-1
WILSON PLACE,WILSON,PLACE,6,11,5,-1
WIMAN AVENUE,WIMAN,AVENUE,5,11,6,1
ACADEMY GREEN,ACADEMY,GREEN,7,12,5,-2
ACADEMY PLACE,ACADEMY,PLACE,7,12,5,-2
ACADIA AVENUE,ACADIA,AVENUE,6,12,6,0
AINSLEY DRIVE,AINSLEY,DRIVE,7,12,5,-2
ALMOND STREET,ALMOND,STREET,6,12,6,0
ARDMORE PLACE,ARDMORE,PLACE,7,12,5,-2
ARGONNE DRIVE,ARGONNE,DRIVE,7,12,5,-2
ARGYLE AVENUE,ARGYLE,AVENUE,6,12,6,0
ARNETT AVENUE,ARNETT,AVENUE,6,12,6,0
ARNOLD AVENUE,ARNOLD,AVENUE,6,12,6,0
ARSENAL DRIVE,ARSENAL,DRIVE,7,12,5,-2
ARTHUR STREET,ARTHUR,STREET,6,12,6,0
AUSTIN AVENUE,AUSTIN,AVENUE,6,12,6,0
BARKER AVENUE,BARKER,AVENUE,6,12,6,0
BARNES AVENUE,BARNES,AVENUE,6,12,6,0
BECKER STREET,BECKER,STREET,6,12,6,0
BENDER STREET,BENDER,STREET,6,12,6,0
BENHAM AVENUE,BENHAM,AVENUE,6,12,6,0
BERGER AVENUE,BERGER,AVENUE,6,12,6,0
BERTRAM PLACE,BERTRAM,PLACE,7,12,5,-2
BERWYN AVENUE,BERWYN,AVENUE,6,12,6,0
BISHOP AVENUE,BISHOP,AVENUE,6,12,6,0
BLAINE STREET,BLAINE,STREET,6,12,6,0
BOSTON STREET,BOSTON,STREET,6,12,6,0
BOYDEN STREET,BOYDEN,STREET,6,12,6,0
BRADFORD LANE,BRADFORD,LANE,8,12,4,-4
BRAMPTON ROAD,BRAMPTON,ROAD,8,12,4,-4
BRIGGS STREET,BRIGGS,STREET,6,12,6,0
BRISTOL PLACE,BRISTOL,PLACE,7,12,5,-2
BRYANT AVENUE,BRYANT,AVENUE,6,12,6,0
BURNET AVENUE,BURNET,AVENUE,6,12,6,0
BURTEN STREET,BURTEN,STREET,6,12,6,0
BUTLER STREET,BUTLER,STREET,6,12,6,0
CADWELL PLACE,CADWELL,PLACE,7,12,5,-2
CANDEE AVENUE,CANDEE,AVENUE,6,12,6,0
CANNON STREET,CANNON,STREET,6,12,6,0
CARBON STREET,CARBON,STREET,6,12,6,0
CARLTON DRIVE,CARLTON,DRIVE,7,12,5,-2
CAYUGA STREET,CAYUGA,STREET,6,12,6,0
CHATHAM PLACE,CHATHAM,PLACE,7,12,5,-2
CHENEY STREET,CHENEY,STREET,6,12,6,0
CHERRY STREET,CHERRY,STREET,6,12,6,0
CHINOOK DRIVE,CHINOOK,DRIVE,7,12,5,-2
CLARKE STREET,CLARKE,STREET,6,12,6,0
CLIFTON PLACE,CLIFTON,PLACE,7,12,5,-2
CLOVER STREET,CLOVER,STREET,6,12,6,0
COLLEGE PLACE,COLLEGE,PLACE,7,12,5,-2
CONCORD PLACE,CONCORD,PLACE,7,12,5,-2
CONIFER DRIVE,CONIFER,DRIVE,7,12,5,-2
COURT TERRACE,COURT,TERRACE,5,12,7,2
CRATON STREET,CRATON,STREET,6,12,6,0
CRIPPEN PLACE,CRIPPEN,PLACE,7,12,5,-2
CURTIS STREET,CURTIS,STREET,6,12,6,0
DAKOTA STREET,DAKOTA,STREET,6,12,6,0
DAYBREAK LANE,DAYBREAK,LANE,8,12,4,-4
DECKER STREET,DECKER,STREET,6,12,6,0
DEFOREST ROAD,DEFOREST,ROAD,8,12,4,-4
DELONG AVENUE,DELONG,AVENUE,6,12,6,0
DELRAY AVENUE,DELRAY,AVENUE,6,12,6,0
DEVINE STREET,DEVINE,STREET,6,12,6,0
DEWITT STREET,DEWITT,STREET,6,12,6,0
DIDAMA STREET,DIDAMA,STREET,6,12,6,0
DORWIN AVENUE,DORWIN,AVENUE,6,12,6,0
DUDLEY STREET,DUDLEY,STREET,6,12,6,0
EASTWOOD ROAD,EASTWOOD,ROAD,8,12,4,-4
EDGEHILL ROAD,EDGEHILL,ROAD,8,12,4,-4
EDISON STREET,EDISON,STREET,6,12,6,0
EDMUND AVENUE,EDMUND,AVENUE,6,12,6,0
ELSNER STREET,ELSNER,STREET,6,12,6,0
EMPIRE AVENUE,EMPIRE,AVENUE,6,12,6,0
ENFIELD PLACE,ENFIELD,PLACE,7,12,5,-2
EUCLID AVENUE,EUCLID,AVENUE,6,12,6,0
EUREKA STREET,EUREKA,STREET,6,12,6,0
FABIUS STREET,FABIUS,STREET,6,12,6,0
FARM ACRE ROAD,FARM ACRE,ROAD,8,12,4,-4
FARMER STREET,FARMER,STREET,6,12,6,0
FEIGEL AVENUE,FEIGEL,AVENUE,6,12,6,0
FENTON STREET,FENTON,STREET,6,12,6,0
FERRIS AVENUE,FERRIS,AVENUE,6,12,6,0
FISCOE AVENUE,FISCOE,AVENUE,6,12,6,0
FOREST AVENUE,FOREST,AVENUE,6,12,6,0
FORMAN AVENUE,FORMAN,AVENUE,6,12,6,0
FRISBIE COURT,FRISBIE,COURT,7,12,5,-2
FURMAN STREET,FURMAN,STREET,6,12,6,0
GEORGE STREET,GEORGE,STREET,6,12,6,0
GIRARD AVENUE,GIRARD,AVENUE,6,12,6,0
GLASS TERRACE,GLASS,TERRACE,5,12,7,2
GLENCOVE ROAD,GLENCOVE,ROAD,8,12,4,-4
GORDON AVENUE,GORDON,AVENUE,6,12,6,0
GRANT TERRACE,GRANT,TERRACE,5,12,7,2
GRAPE TERRACE,GRAPE,TERRACE,5,12,7,2
GRAVES STREET,GRAVES,STREET,6,12,6,0
GUILFORD ROAD,GUILFORD,ROAD,8,12,4,-4
HANCOCK DRIVE,HANCOCK,DRIVE,7,12,5,-2
HARBOR STREET,HARBOR,STREET,6,12,6,0
HARDING PLACE,HARDING,PLACE,7,12,5,-2
HAROLD STREET,HAROLD,STREET,6,12,6,0
HARVARD PLACE,HARVARD,PLACE,7,12,5,-2
HATHERLY ROAD,HATHERLY,ROAD,8,12,4,-4
HAWLEY AVENUE,HAWLEY,AVENUE,6,12,6,0
HAYDEN AVENUE,HAYDEN,AVENUE,6,12,6,0
HAYES TERRACE,HAYES,TERRACE,5,12,7,2
HEADSON DRIVE,HEADSON,DRIVE,7,12,5,-2
HERBST AVENUE,HERBST,AVENUE,6,12,6,0
HICKOK AVENUE,HICKOK,AVENUE,6,12,6,0
HIXSON AVENUE,HIXSON,AVENUE,6,12,6,0
HOBART AVENUE,HOBART,AVENUE,6,12,6,0
HOLDEN STREET,HOLDEN,STREET,6,12,6,0
HOLMES STREET,HOLMES,STREET,6,12,6,0
HOWARD STREET,HOWARD,STREET,6,12,6,0
HUDSON STREET,HUDSON,STREET,6,12,6,0
HUNTER AVENUE,HUNTER,AVENUE,6,12,6,0
HURLBURT ROAD,HURLBURT,ROAD,8,12,4,-4
INTREPID LANE,INTREPID,LANE,8,12,4,-4
IRVING AVENUE,IRVING,AVENUE,6,12,6,0
IVY RIDGE ROAD,IVY RIDGE,ROAD,8,12,4,-4
JASPER STREET,JASPER,STREET,6,12,6,0
JENSEN AVENUE,JENSEN,AVENUE,6,12,6,0
JERICHO DRIVE,JERICHO,DRIVE,7,12,5,-2
JEROME STREET,JEROME,STREET,6,12,6,0
JUDSON STREET,JUDSON,STREET,6,12,6,0
KENWICK DRIVE,KENWICK,DRIVE,7,12,5,-2
KILLIAN DRIVE,KILLIAN,DRIVE,7,12,5,-2
KIMBER AVENUE,KIMBER,AVENUE,6,12,6,0
LAKEVIEW ROAD,LAKEVIEW,ROAD,8,12,4,-4
LAMBRETH LANE,LAMBRETH,LANE,8,12,4,-4
LAMSON STREET,LAMSON,STREET,6,12,6,0
LANDON AVENUE,LANDON,AVENUE,6,12,6,0
LARNED STREET,LARNED,STREET,6,12,6,0
LENNOX AVENUE,LENNOX,AVENUE,6,12,6,0
LINDEN STREET,LINDEN,STREET,6,12,6,0
LOCKWOOD ROAD,LOCKWOOD,ROAD,8,12,4,-4
LOOMIS AVENUE,LOOMIS,AVENUE,6,12,6,0
LYDELL STREET,LYDELL,STREET,6,12,6,0
MAPLE TERRACE,MAPLE,TERRACE,5,12,7,2
MARCIA STREET,MARCIA,STREET,6,12,6,0
MARKET STREET,MARKET,STREET,6,12,6,0
MARTIN STREET,MARTIN,STREET,6,12,6,0
MATHER STREET,MATHER,STREET,6,12,6,0
MAYWOOD DRIVE,MAYWOOD,DRIVE,7,12,5,-2
MCDONALD ROAD,MCDONALD,ROAD,8,12,4,-4
MILBURN DRIVE,MILBURN,DRIVE,7,12,5,-2
MILFORD COURT,MILFORD,COURT,7,12,5,-2
MILNOR AVENUE,MILNOR,AVENUE,6,12,6,0
MILTON AVENUE,MILTON,AVENUE,6,12,6,0
MINEOLA DRIVE,MINEOLA,DRIVE,7,12,5,-2
MONROE STREET,MONROE,STREET,6,12,6,0
MOONEY AVENUE,MOONEY,AVENUE,6,12,6,0
MORGAN AVENUE,MORGAN,AVENUE,6,12,6,0
MORTON AVENUE,MORTON,AVENUE,6,12,6,0
MORTON STREET,MORTON,STREET,6,12,6,0
MURRAY AVENUE,MURRAY,AVENUE,6,12,6,0
MYRTLE STREET,MYRTLE,STREET,6,12,6,0
NELSON STREET,NELSON,STREET,6,12,6,0
NEUTRAL COURT,NEUTRAL,COURT,7,12,5,-2
NORMAN AVENUE,NORMAN,AVENUE,6,12,6,0
NORTON AVENUE,NORTON,AVENUE,6,12,6,0
OAK LEAF DRIVE,OAK LEAF,DRIVE,7,12,5,-2
OAKDALE DRIVE,OAKDALE,DRIVE,7,12,5,-2
OBERST STREET,OBERST,STREET,6,12,6,0
ONEIDA STREET,ONEIDA,STREET,6,12,6,0
OSTRAM AVENUE,OSTRAM,AVENUE,6,12,6,0
OSTROM AVENUE,OSTROM,AVENUE,6,12,6,0
OSWEGO STREET,OSWEGO,STREET,6,12,6,0
OTISCO STREET,OTISCO,STREET,6,12,6,0
OXFORD STREET,OXFORD,STREET,6,12,6,0
PALMER AVENUE,PALMER,AVENUE,6,12,6,0
PARKWAY DRIVE,PARKWAY,DRIVE,7,12,5,-2
PASTIME DRIVE,PASTIME,DRIVE,7,12,5,-2
PETERS STREET,PETERS,STREET,6,12,6,0
PHARIS STREET,PHARIS,STREET,6,12,6,0
PHILLIPS ROAD,PHILLIPS,ROAD,8,12,4,-4
PIERCE STREET,PIERCE,STREET,6,12,6,0
PUTNAM STREET,PUTNAM,STREET,6,12,6,0
RAMSEY AVENUE,RAMSEY,AVENUE,6,12,6,0
RIEGEL STREET,RIEGEL,STREET,6,12,6,0
RIVOLI AVENUE,RIVOLI,AVENUE,6,12,6,0
ROBINEAU ROAD,ROBINEAU,ROAD,8,12,4,-4
